"","10.5MndD1","10.5MndD2","10.5MndD3","10.5MndP1","10.5MndP2","10.5MndP3"
"Actc1",-1.72937437131048,-1.84039132605335,-1.74351758358062,1.67062133153269,1.82687204669459,1.81578990271719
"Acta2",-1.1105304607419,-1.15658921345375,-1.35684928401429,1.13455141944702,1.22722481663372,1.26219272212922
"Sdpr",1.22416800983447,1.21111558348892,1.27116180041517,-1.42660314049048,-1.04509155206803,-1.23475070118005
"Sdpr",1.30264988570013,1.38038649241423,1.41458138096077,-1.29351704622119,-1.28596408827448,-1.51813662457946
"Pcdh8",-1.03979042951895,-1.32426600099871,-0.71598593511355,1.09139727138054,0.99269777291103,0.99594732133964
"Rgs5",1.30430103059708,1.27684241000508,1.25980826821328,-1.27021580893226,-1.27044682081172,-1.30028907907146
"Smpx",-1.35085307157404,-1.9074994702514,-1.54654226239023,1.61380816507726,1.76619412294785,1.42489251619057
"Tnnc1",-1.92149122679625,-2.19230416502451,-1.54223578608744,1.87110996794725,1.91930079693902,1.86562041302194
"Tnnt2",-2.9280998030925,-3.09839992790177,-2.75806111412028,2.83274666885791,3.00605046372122,2.9457637125354
"Dio2",1.14434120475779,1.08180004419103,1.13910792307911,-1.17513784283243,-1.20166158220861,-0.988449746986881
"T",-1.31855046546134,-1.36332732750088,-1.40385996895988,1.45579219012278,1.19676843874749,1.43317713305184
"Tac2",1.11127457997958,1.16904104901045,1.15337780829247,-1.08277561463579,-1.10119397761247,-1.24972384503422
"Sim2",-1.22556967105637,-1.05334837846749,-0.950572376219957,1.14861506616449,1.13552429595734,0.945351063621973
"Gbx2",-1.52181410005341,-1.49341223230408,-0.98828610122439,1.32587546619895,1.28761923245184,1.39001773493109
"Rgs5",1.29803104610074,1.33137596574534,1.33684776169694,-1.39657049631805,-1.17103696986068,-1.39864730736428
"Rgs5",1.12733580956225,1.35148795211682,1.38353112746396,-1.17247724468354,-1.42592427692999,-1.2639533675295
"Rgs5",1.44407656701848,1.48553429769977,1.48928827880556,-1.42750116056476,-1.43206708103461,-1.55933090192445
"Ankrd1",-1.39179218073457,-1.6149999147404,-1.52763137838153,1.37796393513571,1.4832078340219,1.67325170469889
"Ankrd1",-1.63417503195827,-1.29351243714225,-1.82852815845678,1.48577394504108,1.50280580122447,1.76763588129174
"Myl4",-2.72132412477931,-2.12020816140528,-2.06689757634362,2.24709640711292,2.32383698057129,2.33749647484398
"Sh3bgr",-1.41688819001259,-1.54764754879286,-1.60065180937561,1.44068696339944,1.60749784872619,1.51700273605542
"Tnnt2",-2.66608116535027,-2.50236865446544,-2.26323145974651,2.34449646015229,2.57054195852764,2.5166428608823
"Ttn",-1.34203606028796,-1.42489650320979,-1.3203829315669,1.3567923877408,1.43866023047191,1.29186287685192
"Myl3",-2.38472065827224,-2.61673219782442,-2.72700231113507,2.32322175099586,2.71824409666556,2.68698931957033
"Myl3",-1.04203874141485,-1.06250660024247,-1.23541891062254,0.88128807304232,1.24046551802144,1.2182106612161
"Col8a2",-0.936478176058289,-1.06587638646765,-1.02212493017714,1.01437492614529,0.985202613908092,1.02490195264969
"Alx1",1.13529207683813,1.24573128100573,1.26613905844293,-1.17532036005683,-1.146963676502,-1.32487837972795
"Synpo2",1.18155678045338,1.25668340419614,1.27729576621366,-1.13774370124713,-1.16254968797199,-1.41524256164408
"Nhlh2",1.25044886260571,1.31256252642148,1.25544188257336,-1.37860929370825,-1.11452642267304,-1.32531755521927
"Unc45b",-1.26862851044213,-0.7993234036182,-1.22509480749322,1.14329030788915,1.10373607441396,1.04602033925044
"Rgcc",1.06728567661374,1.08528865589015,1.19150429068578,-1.09097319719495,-1.06857186125684,-1.18453356473789
"Smyd1",-1.332519499376,-1.3770684068707,-1.26680929222505,1.31305299473236,1.4339823727332,1.22936183100617
"Sdpr",1.23677172437852,1.30735820872198,1.40472747101434,-1.24035495905334,-1.25160384076414,-1.45689860429736
"Cux2",0.892684827328568,1.04747693337808,1.10789545176901,-0.885067213833582,-0.996436936918621,-1.16655306172345
"Myl2",-3.61524228539724,-3.64638791007094,-3.5239282665621,3.52788568008557,3.59178742890066,3.66588535304406
"Myh7",-1.34184916999651,-1.61471935217773,-1.92972176704372,1.50410331489234,1.67405374223168,1.70813323209396
"NA",-1.57920537399172,-1.73824651531917,-1.86580765806805,1.58533027735681,1.83057650990467,1.76735276011745
"NA",-2.00640514563683,-2.0627512817159,-1.85261198735704,1.97824626514306,1.96147125935183,1.98205089021488
"Myl7",-2.60115554264107,-2.58968333239159,-2.4072037016242,2.45696470727375,2.44676152446945,2.69431634491365
"Tnni1",-1.15382142284849,-1.03278205176199,-0.880534531179695,0.993612084757505,1.0000745863534,1.07345133467927
"Tbx20",-1.81865304093079,-1.53250356785143,-1.11963289627116,1.16826924486384,1.63866178618534,1.6638584740042
"Taf15",0.46699347360564,1.39753940657709,1.43846533933558,-0.91172113674648,-1.43086023902415,-0.96041684374768
"Alx1",1.18178682016444,1.22021408117135,1.18705482250141,-1.20692475455388,-1.20879026117525,-1.17334070810808
"Dkk1",1.11329544705239,0.885392296453218,1.08513557144017,-0.827725935532412,-1.06220032976639,-1.19389704964697
"Csrp3",-0.872044044681377,-0.957348860104957,-1.5898205654549,1.12931856798463,1.07360391789751,1.21629098435908
"Ndnf",1.14484712502752,1.15699673424462,1.08842405623792,-1.09478432503605,-1.09113607351743,-1.20434751695656
"NA",0.893861886420134,1.09024593600713,1.08876089038263,-1.06454950139267,-1.17662090890267,-0.831698302514567
