"","X","Y","Symbol"
"Copg1","10.316838","-2.190815e-03","Copg1"
"Atp6v0d1","10.493045"," 5.121496e-02","Atp6v0d1"
"Golga7","11.759469","-1.847048e-02","Golga7"
"Psph"," 9.334559","-9.467912e-02","Psph"
"Trappc4","10.466204"," 8.063074e-02","Trappc4"
"Dpm2"," 9.880831"," 9.753398e-02","Dpm2"
"Psmb5","12.543299"," 5.988333e-02","Psmb5"
"Dhrs1"," 9.996627"," 2.970755e-01","Dhrs1"
"Ppm1a","10.769653","-1.042987e-01","Ppm1a"
"Psenen","11.753757"," 5.652034e-02","Psenen"
"Anapc1","10.875599","-2.644759e-01","Anapc1"
"Mrpl43","11.224397"," 4.479998e-02","Mrpl43"
"Xpo7"," 9.642073","-2.070175e-01","Xpo7"
"Nmt1","11.656473"," 1.749818e-01","Nmt1"
"Atg5"," 9.696298","-2.718711e-01","Atg5"
"Mtif2","10.115662"," 2.170071e-01","Mtif2"
"Rab14","10.508429","-3.038470e-02","Rab14"
"Psap","10.901062"," 8.013485e-02","Psap"
"Ube2g1","11.363134"," 5.052566e-02","Ube2g1"
"Zkscan3","10.223139"," 1.669680e-01","Zkscan3"
"Mrpl27","11.456137"," 1.172819e-01","Mrpl27"
"Dlg1"," 9.749473","-2.893052e-01","Dlg1"
"Canx","12.743860","-1.110548e-01","Canx"
"Derl1"," 9.501568","-9.014290e-02","Derl1"
"Wars"," 8.596306","-3.245775e-01","Wars"
"Psma1","12.661965","-3.306166e-02","Psma1"
"Sar1a","11.046637","-1.440439e-01","Sar1a"
"G3bp2","11.302669"," 1.053159e-01","G3bp2"
"Golm1","11.056057"," 5.987192e-02","Golm1"
"Gps1","11.388750"," 7.451005e-02","Gps1"
"Ssr3","12.061782","-2.651664e-01","Ssr3"
"NA","14.274943"," 1.939906e-03","NA"
"Ctbp1","12.437078","-1.122283e-01","Ctbp1"
"Huwe1","10.810716","-4.719004e-01","Huwe1"
"Cdv3","12.358618","-2.656467e-01","Cdv3"
"Smim7"," 9.746357","-1.976279e-01","Smim7"
"Copa","11.687689","-1.996970e-01","Copa"
"Anapc2","10.736053","-1.118816e-01","Anapc2"
"Tug1","11.878496","-2.050127e-01","Tug1"
"Gbf1"," 8.865483","-1.992257e-02","Gbf1"
"Cox18"," 9.560451","-1.396310e-02","Cox18"
"Arfgef1","10.283209"," 3.366613e-02","Arfgef1"
"Zranb1"," 8.527733","-1.847956e-01","Zranb1"
"Ddx24","10.270106","-1.094929e-01","Ddx24"
"Snrnp27","11.627966"," 1.715049e-01","Snrnp27"
"Tmem129"," 8.802483"," 9.298247e-02","Tmem129"
"NA","13.815283"," 2.726119e-02","NA"
"Rnf220"," 9.798000","-1.192147e-01","Rnf220"
"Sap30l","10.428470"," 2.826333e-01","Sap30l"
"Armc1","10.475050","-8.431348e-02","Armc1"
"Mad2l1bp"," 9.457280"," 2.004468e-01","Mad2l1bp"
"Naa60"," 9.393286","-1.341656e-01","Naa60"
"Vta1","10.417127"," 1.820814e-01","Vta1"
"Eif5","12.087481","-9.067464e-02","Eif5"
"Cdc42","12.169758","-1.360262e-01","Cdc42"
"Rrn3","10.211381","-1.449712e-01","Rrn3"
